ID	term	parent	description	synonyms	related terms	wiki	other ontology terms	Ensembl documentation
ID	A rdfs:label	C %	A obo:IAO_0000115	"A oboInOwl:hasExactSynonym SPLIT=,"	C related some %	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A ENSGLOSSARYPROP:documentation
ENSGLOSSARY:0000001	Genome annotation		A genomic locus that has been annotated.	"Feature, element"			SO:0000001	
ENSGLOSSARY:0000002	Gene	Genome annotation	"Genomic locus where transcription occurs. A gene may have one or more transcripts, which may or may not encode proteins."			https://en.wikipedia.org/wiki/Gene	SO:0000704	
ENSGLOSSARY:0000003	Transcript	Gene	"A transcript is the operational unit of a gene. In a genomic context, transcripts consist of one or more exons, with adjoining exons being separated by introns. The exons/introns are transcribed and then the introns spliced out. Transcripts may or may not encode a protein"	"Splice variant, isoform"			SO:0000673	
ENSGLOSSARY:0000004	EST	Genome annotation	"Expressed Sequence Tag. Coarse sequence reads from flanking vector regions into the inserts of cDNA libraries. ESTs act as physical markers for cloning and full length sequencing of the cDNAs of expressed genes. Typically identified by purifying mRNAs, converting to cDNAs, and then sequencing a portion of the cDNAs. Usually short, single reads from a tissue or stage in development."	Expressed sequence tag				
ENSGLOSSARY:0000005	Transcript support level	Transcript	"The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users, based on the type and quality of the alignments used to annotate the transcript."	TSL				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000006	TSL 1	Transcript support level	A transcript where all splice junctions are supported by at least one non-suspect mRNA.	Transcript support level 1				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000007	TSL 2	Transcript support level	A transcript where the best supporting mRNA is flagged as suspect or the support is from multiple ESTs	Transcript support level 2				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000008	TSL 3	Transcript support level	A transcript where the only support is from a single EST	Transcript support level 3				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000009	TSL 4	Transcript support level	A transcript where the best supporting EST is flagged as suspect	Transcript support level 4				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
